epoch,train_loss,val_mpjpe,lr
epoch,train_loss,val_mpjpe,lr
1,1.5745236799120903,1.5507198339700698,0.001
2,1.546706859022379,1.5433866345882417,0.000505
epoch,train_loss,val_mpjpe,lr
1,1.5745236799120903,1.5507198339700698,0.001
2,1.545384556055069,1.5368002250790596,0.000905463412215599
3,1.4971398785710335,1.4560710766911507,0.000657963412215599
4,1.4362053275108337,1.4006434947252273,0.0003520365877844011
5,1.3987170718610287,1.378225165307522,0.00010453658778440106
epoch,train_loss,val_mpjpe,lr
1,1.5745236799120903,1.5507198339700698,0.001
epoch,train_loss,val_mpjpe,lr
1,0.48068103679904234,0.2884093673454614,0.001
2,0.3075362205505371,0.28118895012574757,0.0009990232305719944
3,0.2854254358344608,0.27847113631675263,0.0009960967771506664
4,0.27796268120959955,0.27781098788940994,0.0009912321891107007
5,0.2715542404739945,0.2851768930344283,0.0009844486647586721
6,0.26139562416959694,0.2631259406906843,0.0009757729755661009
7,0.2431467076142629,0.263533954239837,0.0009652393605146842
8,0.22731582820415497,0.2389803585357878,0.0009528893909706795
9,0.2048088609068482,0.20933216380121847,0.0009387718066217122
10,0.1843077591171971,0.1990227623890039,0.0009229423231234972
11,0.1771892469238352,0.19063870069523456,0.0009054634122155987
12,0.16625491579373677,0.17942382122201636,0.0008864040551740153
13,0.1555341567154284,0.18310699899541155,0.0008658394705735984
14,0.14751078696162612,0.16654273656815252,0.0008438508174347006
15,0.13860475089814928,0.15930325212932617,0.000820524874925601
16,0.1321100645043232,0.15175332824447538,0.000795953699884774
17,0.13017710496981938,0.15132881209888152,0.000770234263514603
18,0.12159229025796607,0.1441494384075763,0.0007434680686803488
19,0.11484128584464391,0.13541438866784145,0.0007157607493247108
20,0.1099365140552874,0.13794613455737972,0.0006872216535789154
21,0.10766572968827354,0.12877181503012325,0.0006579634122155987
22,0.10414824965927336,0.12716863593886923,0.0006281014941466028
23,0.10019051526431684,0.12212062637310105,0.0005977537507199335
24,0.09648162424564362,0.1197110262085047,0.0005670399506143305
25,0.09408869688157682,0.11480553027890644,0.0005360813071670099
26,0.0919474525584115,0.11744764551692358,0.0005049999999999998
27,0.08999001736994143,0.11462176581561986,0.0004739186928329897
28,0.08821560652167709,0.10951919971466345,0.0004429600493856692
29,0.08595800090719152,0.10950491032489489,0.0004122462492800661
30,0.08512099501159456,0.10699414502464588,0.0003818985058533967
31,0.08371430618895424,0.10486463991452889,0.00035203658778440103
32,0.08128041724363963,0.10528516534806674,0.00032277834642108444
33,0.08025637451145384,0.1027945802850046,0.0002942392506752889
34,0.07912248295766336,0.10144810464158303,0.00026653193131965077
35,0.07773209341146328,0.10055024036839,0.00023976573648539642
36,0.07673418268009469,0.09971250484165166,0.00021404630011522574
37,0.07565045362269437,0.09747475247819004,0.00018947512507439847
38,0.0747489877321102,0.09760755581551125,0.000166149182565299
39,0.0740172310007943,0.09648551381033435,0.00014416052942640132
40,0.07342597295840582,0.09525815460133331,0.00012359594482598432
41,0.07255851653990922,0.09513217896460378,0.00010453658778440102
42,0.07211691858591857,0.09461458545741985,8.70576768765026e-05
43,0.07166678938600753,0.09385583914781341,7.12281933782875e-05
44,0.0713986149540654,0.09396846836226562,5.71106090293204e-05
45,0.0708721986523381,0.09409882372516745,4.4760639485315563e-05
46,0.0706188158304603,0.09343864363922796,3.422702443389899e-05
47,0.07036331293207627,0.09389656085231114,2.5551335241327665e-05
48,0.07016394761977372,0.09310370163499111,1.876781088929908e-05
49,0.07007087386316724,0.09316875195698499,1.3903222849333505e-05
50,0.0699730047473201,0.09277826309038463,1.0976769428005579e-05
